îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
2013/1/1,8.1,-3.9
2013/1/2,12.2,-1.5
2013/1/3,5.7,-0.4
2013/1/4,5.9,-3.2
2013/1/5,6.4,-3.4
2013/1/6,9.1,-5.3
2013/1/7,10.1,-3
2013/1/8,11.3,-2.8
2013/1/9,9.9,-2.5
2013/1/10,7.7,-3
2013/1/11,7.6,-3.9
2013/1/12,10.4,-3.6
2013/1/13,8.9,-4
2013/1/14,6.8,3.5
2013/1/15,7,2.5
2013/1/16,8.9,-1.7
2013/1/17,8.5,0.9
2013/1/18,5.2,-2.7
2013/1/19,9,-3.5
2013/1/21,9.5,-3.5
2013/1/22,10.6,5.1
2013/1/23,9.5,0.8
2013/1/24,11.5,-1.9
2013/1/25,8.4,0.8
2013/1/26,7,-1.1
2013/1/27,6.2,-3.1
2013/1/28,6.3,-2.2
2013/1/29,9.3,-1.9
2013/1/30,10.7,-0.3
2013/1/31,12.8,-2.4
2013/2/1,13.4,-2.9
2013/2/2,18.8,8.1
2013/2/3,11.8,4.9
2013/2/4,10.3,4.3
2013/2/5,8.9,4.6
2013/2/6,9.4,0.6
2013/2/7,10.1,0.4
2013/2/8,3.5,-0.9
2013/2/9,6.5,-3.1
2013/2/10,9.6,-4.3
2013/2/11,8.6,-1.6
2013/2/12,8.2,-3.3
2013/2/13,8.7,-0.7
2013/2/15,6.4,2
2013/2/16,5.7,-1.9
2013/2/17,4.3,-4.3
2013/2/18,6.3,2
2013/2/19,5.2,-0.4
2013/2/20,8,-1.6
2013/2/21,8.3,-1
2013/2/22,8.5,-1.3
2013/2/23,8,-1.5
2013/2/24,6.7,-1.9
2013/2/25,7.3,-1.3
2013/2/26,9.7,-2.5
2013/2/27,14,4.1
2013/2/28,15.2,1.6
2013/3/1,13.6,1.9
2013/3/2,7.7,1.7
2013/3/3,8.6,-2.2
2013/3/4,11.3,-3.8
2013/3/5,13,0.2
2013/3/6,15.9,-1.8
2013/3/7,20,0.8
2013/3/8,21.1,5.8
2013/3/11,11.4,-2
2013/3/12,17.8,-3.6
2013/3/13,22.2,3.8
2013/3/14,8.4,-1.6
2013/3/15,14.8,-3.2
2013/3/16,16.5,-1.1
2013/3/17,19.8,0.6
2013/3/18,21.9,11.3
2013/3/19,22.3,11.8
2013/3/20,15.9,7.9
2013/3/21,11.3,1
2013/3/22,17.8,-1.1
2013/3/23,14.6,2.5
2013/3/24,19.7,1.8
2013/3/25,14.9,4.7
2013/3/26,12.4,-0.5
2013/3/27,16,2.7
2013/3/28,15.5,9.5
2013/3/29,18.6,8.2
2013/3/30,16.9,5.2
2013/3/31,16.9,7.3
2013/4/1,19.3,1.3
2013/4/2,17.8,6.9
2013/4/3,16.3,9.4
2013/4/4,22.2,5.1
2013/4/5,26,4.8
2013/4/6,18.4,11
2013/4/8,17.2,4.9
2013/4/9,20.5,6.7
2013/4/10,15.4,6.1
2013/4/11,12.8,3.7
2013/4/12,14.4,2.6
2013/4/13,16.7,0.7
2013/4/14,23,3.2
2013/4/15,21.5,11.3
2013/4/16,27,8.6
2013/4/17,22.9,11.6
2013/4/18,26,8.7
2013/4/19,14.9,5.3
2013/4/20,17.3,1.8
2013/4/21,14.3,4
2013/4/22,17.4,0.5
2013/4/23,19.7,1.8
2013/4/24,16.6,11.4
2013/4/25,23.3,7.4
2013/4/26,20.3,8.2
2013/4/27,19.8,7.1
2013/4/28,21.9,5.3
2013/4/29,25.7,6.4
2013/4/30,16.3,12.1
2013/5/1,16.7,6.7
2013/5/2,16.2,4.3
2013/5/3,19.9,5.1
2013/5/4,21.6,5.7
2013/5/6,25,7.6
2013/5/7,18.7,9.1
2013/5/8,23.8,4.5
2013/5/9,30,5.7
2013/5/10,21.7,9.8
2013/5/11,18.2,13.6
2013/5/12,27.7,8.9
2013/5/13,29.6,10.6
2013/5/14,32.1,12.9
2013/5/15,28.9,15.4
2013/5/16,23.5,14.7
2013/5/17,27.1,11.7
2013/5/18,28.1,12.1
2013/5/19,23.3,14.1
2013/5/20,27.9,16.6
2013/5/21,30.3,16.4
2013/5/22,31.9,15.7
2013/5/23,29.7,12.9
2013/5/24,29.7,9.7
2013/5/25,30.1,13
2013/5/26,30.5,14.7
2013/5/27,27.5,17.2
2013/5/28,23.8,19.5
2013/5/29,26.1,18.6
2013/5/30,26.5,17.2
2013/5/31,29,12.6
2013/6/1,26.9,14.5
2013/6/2,27.2,17.3
2013/6/3,30.5,17.4
2013/6/4,32.5,14.1
2013/6/5,31.4,18.9
2013/6/6,26.8,18
2013/6/7,31.1,15.5
2013/6/8,30.6,14.4
2013/6/9,27.6,16.4
2013/6/10,28.9,19.3
2013/6/11,28.7,21.2
2013/6/12,31.6,22.9
2013/6/13,37.5,22.3
2013/6/14,36.1,21.5
2013/6/15,29.1,22.3
2013/6/16,33.2,20.9
2013/6/17,33.4,19.1
2013/6/18,32.8,22.6
2013/6/19,26.6,19.8
2013/6/20,22.7,18.9
2013/6/21,22.2,19.2
2013/6/22,26,18.1
2013/6/23,25.7,19.9
2013/6/24,29.1,19.7
2013/6/25,29.2,20.2
2013/6/26,23.6,20.4
2013/6/27,27.9,20.3
2013/6/28,27.6,21
2013/6/29,31.6,19.3
2013/6/30,29.8,18.8
2013/7/1,30.1,19.9
2013/7/2,30.5,19.3
2013/7/3,30.5,22.2
2013/7/4,28.2,22.4
2013/7/5,35,24
2013/7/6,33.7,23.6
2013/7/7,34.5,22.7
2013/7/8,36.1,24.6
2013/7/9,35.8,23.8
2013/7/10,36.2,24.3
2013/7/11,35.8,24.5
2013/7/12,35.8,23.5
2013/7/13,35.7,22.4
2013/7/14,34.2,22
2013/7/15,29.4,23.3
2013/7/16,31.4,23
2013/7/17,33.1,22.7
2013/7/18,32.6,25
2013/7/19,31.3,20.3
2013/7/20,33.4,18.3
2013/7/21,34.9,21.2
2013/7/22,34.6,23.7
2013/7/23,34.4,24.2
2013/7/24,33.3,23.7
2013/7/25,35.8,23.4
2013/7/26,35.7,23.7
2013/7/27,33.7,24.7
2013/7/28,34.4,22.9
2013/7/29,27.8,24.5
2013/7/30,34.2,25.2
2013/7/31,33.5,23.6
2013/8/1,32,25.4
2013/8/2,33.5,23.2
2013/8/3,33.9,21
2013/8/4,35.4,22.3
2013/8/5,36.1,24.7
2013/8/6,34.6,24.8
2013/8/7,35.6,23.5
2013/8/8,35.6,24.6
2013/8/9,36.9,25.1
2013/8/10,37.5,25.4
2013/8/11,38.1,24.9
2013/8/12,38.3,23.5
2013/8/13,37.6,21.5
2013/8/14,37,19.5
2013/8/15,37.3,23.8
2013/8/16,36.7,25
2013/8/17,35.9,23.9
2013/8/18,37,23.6
2013/8/19,37.6,24.5
2013/8/20,37.9,25.4
2013/8/21,38,25.7
2013/8/22,38.1,25.6
2013/8/23,35.4,25
2013/8/24,28.4,25.2
2013/8/25,27.1,21.4
2013/8/26,28.7,20.7
2013/8/27,32.3,19.9
2013/8/28,32,19.2
2013/8/29,34.6,20.1
2013/8/30,35.4,24.5
2013/8/31,34.4,23.2
2013/9/2,26,22.6
2013/9/3,29.7,21.1
2013/9/4,29.2,19.8
2013/9/5,28.2,19
2013/9/6,29.9,18.2
2013/9/7,27,20.1
2013/9/8,28.4,21.7
2013/9/9,30.7,17.9
2013/9/10,30.7,18.8
2013/9/11,32.2,19.3
2013/9/12,33.7,22.8
2013/9/13,34.8,22.6
2013/9/14,32.3,22.4
2013/9/15,27.4,22.4
2013/9/16,26.8,15.3
2013/9/17,29.6,14.1
2013/9/18,30.3,14.7
2013/9/19,30.9,16
2013/9/20,31.4,14.3
2013/9/21,31.7,17.2
2013/9/22,31,17.7
2013/9/23,30.2,18.1
2013/9/24,30.5,17.5
2013/9/25,32.5,18.1
2013/9/26,25.9,16.5
2013/9/27,26,11.7
2013/9/28,27.4,13.1
2013/9/29,28.5,16.2
2013/9/30,29.1,15.2
2013/10/1,30.8,17.8
2013/10/2,28.1,20.2
2013/10/3,25.9,13.9
2013/10/4,24.9,12.9
2013/10/5,27.3,18.2
2013/10/6,30.9,21.2
2013/10/7,30,22.1
2013/10/8,27.9,20.4
2013/10/9,30.8,21.6
2013/10/10,30.9,20.1
2013/10/11,32,22.9
2013/10/12,26.6,13.4
2013/10/13,25.7,11.3
2013/10/14,26.9,9.5
2013/10/15,21.8,17.4
2013/10/16,19.7,13.3
2013/10/17,20,9.2
2013/10/18,19.9,9.5
2013/10/19,20,15
2013/10/20,18.1,15.8
2013/10/21,25.4,13.9
2013/10/22,22.3,13.1
2013/10/23,19.5,17.5
2013/10/24,22.7,17.6
2013/10/25,22.1,16.6
2013/10/26,19.1,13
2013/10/27,20.2,9.5
2013/10/28,20.7,7.3
2013/10/30,22.8,10.8
2013/10/31,21.3,8.5
2013/11/1,21.3,8.7
2013/11/2,20.9,6.8
2013/11/3,17.2,13.6
2013/11/4,20.8,10.3
2013/11/5,19.5,7.9
2013/11/6,21.1,6
2013/11/7,21.6,9.9
2013/11/8,20.9,6.4
2013/11/9,18.8,6.9
2013/11/10,16.5,10.2
2013/11/11,15.6,5.9
2013/11/12,11.7,4.8
2013/11/13,12.9,4.4
2013/11/14,15.7,3.4
2013/11/15,15,7.3
2013/11/16,17.5,5.3
2013/11/17,19,5.4
2013/11/18,14.5,2.7
2013/11/19,12.3,4
2013/11/20,13.4,2.2
2013/11/21,15.2,2.4
2013/11/22,15.5,1
2013/11/23,15.3,1.6
2013/11/24,16.2,2.2
2013/11/25,19.2,6.5
2013/11/26,13.4,1.9
2013/11/27,14.2,1.4
2013/11/28,11.2,-0.1
2013/11/29,10.8,-0.5
2013/11/30,12.2,-1.3
2013/12/1,14.9,-0.9
2013/12/2,14.9,-0.1
2013/12/3,14.8,0.2
2013/12/4,14.6,0.2
2013/12/5,15,0.9
2013/12/6,15.4,2.7
2013/12/7,13.5,0.4
2013/12/8,11.1,0.1
2013/12/9,12.4,-1.9
2013/12/10,12.6,6.4
2013/12/11,11.1,0.3
2013/12/12,9.1,-0.5
2013/12/13,10.3,-2
2013/12/14,8.9,-0.2
2013/12/15,10.3,3.9
2013/12/16,10.3,2.9
2013/12/17,10.7,1.9
2013/12/18,7.4,5
2013/12/19,9.7,5.7
2013/12/21,8.4,3.6
2013/12/22,8.3,3.2
2013/12/23,10.3,2.6
2013/12/24,9.7,3.6
2013/12/25,10.1,1.5
2013/12/26,8.7,0.4
2013/12/27,7.3,2.4
2013/12/28,7.6,-1.3
2013/12/29,7.4,-3.4
2013/12/30,8.6,-4.5
2013/12/31,12.2,-0.6
